# AUTHOR: CALIFA collaboration
# SOURCE: Own analysis of SDSSS imaging 
# DATE: 2014-09-09
# VERSION: 1.0 
# COLAPRV: CJW
# PUBAPRV: None 
# COLUMN1: CALIFAID, int, , ID of the CALIFA galaxy 
# COLUMN2: REALNAME, string , Galaxy name 
# COLUMN3: DBName, string, , Name in CALIFA database 
# COLUMN4: ra, float, degrees, right ascension J2000.0 
# COLUMN5: de, float, degrees, declination J2000.0
# COLUMN6: hubtyp, string, , Hubble type S or E
# COLUMN7: hubsubtyp, string, , Hubble subtype 0-7 or a-d
# COLUMN8: minhubtyp, string, , Minimum Hubble type 
# COLUMN9: minhubsubtyp, string, , Minimum Hubble subtype 
# COLUMN10: maxhubtyp, string, , Maximum Hubble type
# COLUMN11: maxhubsubtyp, string, , Maximum Hubble subtype
# COLUMN12: bar, String, Barredness A or AB or B
# COLUMN13: minbar, String, , Minimum barredness
# COLUMN14: maxbar, String, , Maximum barredness 
# COLUMN15: merg, string, , Merging (M) or Isolated (I)
# COLUMN16: minmerg , String, , Min Merging (M) or Isolated (I)
# COLUMN17: maxmerg , String, , Max Merging (M) or Isolated (I)
      1, IC5376, IC5376,       0.3324100,      34.5256691, S, b, S, a, S, d, A, A, A, I, I, I
      2, UGC00005, UGC00005,       0.7735100,      -1.9138300, S, bc, S, ab, S, c, A, A, B, I, I, I
      3, NGC7819, NGC7819,       1.1021100,      31.4720097, S, c, S, bc, S, c, A, A, B, I, I, I
      4, UGC00029, UGC00029,       1.1406000,      28.3017197, E, 1, E, 0, E, 1, A, A, A, I, I, I
      5, IC1528, IC1528,       1.2724000,      -7.0933900, S, bc, S, ab, S, d, AB, A, B, I, I, I
      6, NGC7824, NGC7824,       1.2759900,       6.9201498, S, ab, S, a, S, ab, A, A, B, I, I, I
      7, UGC00036, UGC00036,       1.3078400,       6.7720299, S, ab, S, a, S, bc, AB, A, B, I, I, I
      8, NGC0001, NGC0001,       1.8160800,      27.7080803, S, bc, S, b, S, c, A, A, A, I, I, I
      9, NGC0023, NGC0023,       2.4726100,      25.9238300, S, b, S, ab, S, cd, B, AB, B, I, I, I
     10, NGC0036, NGC0036,       2.8429101,       6.3893499, S, b, S, a, S, bc, B, A, B, I, I, M
     11, UGC00139, UGC00139,       3.6327600,      -0.7375600, S, cd, S, c, S, d, A, A, B, I, I, I
     12, UGC00148, UGC00148,       3.9637301,      16.0898304, S, c, S, ab, S, m, A, A, AB, I, I, I
     13, MCG-02-02-030, MCG-02-02-030,       7.5304599,     -11.1136303, S, b, S, ab, S, c, AB, A, B, I, I, I
     14, UGC00312, UGC00312,       7.8496699,       8.4667301, S, d, S, c, S, m, B, B, B, I, I, M
     15, ESO539-G014, ESO539-G014,       7.8674502,     -19.7614498, S, cd, S, bc, S, d, A, A, AB, I, I, I
     16, MCG-02-02-040, MCG-02-02-040,       7.8991199,     -10.5063896, S, cd, S, bc, S, m, AB, A, B, I, I, I
     17, UGC00335NED02, UGC00335NED02,       8.4888401,       7.2682700, E, 4, E, 3, E, 5, A, A, A, M, I, M
     18, NGC0155, NGC0155,       8.6669998,     -10.7665100, E, 1, E, 0, S, 0, A, A, A, I, I, I
     19, ESO540-G003, ESO540-G003,       8.9145603,     -20.1253796, S, b, S, ab, S, bc, AB, A, B, I, I, I
     20, NGC0160, NGC0160,       9.0171099,      23.9579105, S, a, S, 0, S, bc, A, A, AB, I, I, I
     21, NGC0165, NGC0165,       9.1205101,     -10.1061602, S, b, S, a, S, bc, B, B, B, I, I, I
     22, NGC0169, NGC0169,       9.2150297,      23.9909706, S, ab, S, a, S, bc, A, A, AB, M, M, M
     23, NGC0171, NGC0171,       9.3397999,     -19.9342308, S, b, S, a, S, c, B, B, B, I, I, I
     24, NGC0177, NGC0177,       9.3930702,     -22.5492306, S, ab, S, a, S, b, A, A, AB, I, I, I
     25, NGC0180, NGC0180,       9.4904299,       8.6351604, S, b, S, a, S, c, B, B, B, I, I, I
     26, NGC0192, NGC0192,       9.8058901,       0.8641600, S, ab, S, a, S, b, AB, A, B, I, I, I
     27, NGC0216, NGC0216,      10.3632097,     -21.0446701, S, d, S, b, I, r, A, A, AB, I, I, I
     28, NGC0214, NGC0214,      10.3668299,      25.4993801, S, bc, S, bc, S, c, AB, AB, B, I, I, I
     29, NGC0217, NGC0217,      10.3912201,     -10.0214300, S, a, S, 0, S, c, A, A, AB, I, I, I
     30, NGC0237, NGC0237,      10.8660097,      -0.1249300, S, c, S, bc, S, cd, B, AB, B, I, I, I
     31, NGC0234, NGC0234,      10.8849697,      14.3425703, S, c, S, c, S, d, AB, A, B, I, I, I
     32, MCG-02-03-015, MCG-02-03-015,      11.9434795,      -9.8350496, S, ab, S, 0, S, bc, AB, A, B, I, I, I
     33, NGC0257, NGC0257,      12.0063000,       8.2970695, S, c, S, b, S, cd, A, A, B, I, I, I
     34, NGC0309, NGC0309,      14.1777601,      -9.9138699, S, cd, S, c, S, cd, B, AB, B, I, I, I
     35, NGC0364, NGC0364,      16.1701298,      -0.8027500, E, 7, E, 4, S, 0, AB, A, B, I, I, I
     36, NGC0429, NGC0429,      18.2392693,      -0.3450000, S, a, S, 0, S, c, A, A, AB, I, I, I
     37, IC1652, IC1652,      18.7344894,      31.9484997, S, 0a, S, 0, S, bc, A, A, AB, I, I, I
     38, NGC0447, NGC0447,      18.9068394,      33.0677681, S, a, S, 0, S, c, B, B, B, I, I, I
     39, NGC0444, NGC0444,      18.9565105,      31.0806198, S, cd, S, c, S, d, A, A, AB, I, I, I
     40, UGC00809, UGC00809,      18.9659901,      33.8106995, S, cd, S, c, S, d, A, A, B, I, I, I
     41, UGC00841, UGC00841,      19.7917805,      33.0306206, S, bc, S, a, S, d, A, A, AB, I, I, I
     42, NGC0477, NGC0477,      20.3353500,      40.4881516, S, bc, S, b, S, c, AB, A, B, I, I, I
     43, IC1683, IC1683,      20.6622009,      34.4371300, S, b, S, a, S, c, AB, A, B, I, I, I
     44, NGC0499, NGC0499,      20.7978992,      33.4601898, E, 5, E, 2, S, 0, A, A, A, I, I, I
     45, NGC0496, NGC0496,      20.7983093,      33.5292702, S, cd, S, bc, S, d, A, A, AB, I, I, I
     46, NGC0504, NGC0504,      20.8662701,      33.2043495, S, 0, E, 7, S, 0, A, A, A, I, I, I
     47, NGC0517, NGC0517,      21.1825199,      33.4295883, S, 0, S, 0, S, 0, A, A, A, I, I, I
     48, NGC0523, NGC0523,      21.3364906,      34.0249481, S, d, S, b, I, r, AB, A, B, M, I, M
     49, UGC00987, UGC00987,      21.3810291,      32.1362686, S, a, S, 0a, S, a, AB, AB, B, I, I, I
     50, NGC0528, NGC0528,      21.3898792,      33.6714401, S, 0, E, 7, S, 0, A, A, A, I, I, I
     51, NGC0529, NGC0529,      21.4178391,      34.7130203, E, 4, E, 3, S, 0, A, A, A, I, I, I
     52, NGC0551, NGC0551,      21.9193096,      37.1829796, S, bc, S, ab, S, c, AB, A, B, I, I, I
     53, UGC01057, UGC01057,      22.2218895,      13.7938004, S, c, S, bc, S, cd, AB, A, B, I, I, I
     54, NGC0570, NGC0570,      22.2443295,      -0.9490000, S, b, S, a, S, c, B, B, B, I, I, I
     55, UGC01062, UGC01062,      22.2481804,      -0.5619400, S, 0a, S, 0, S, ab, AB, A, B, I, I, I
     56, 2MASXJ01331766+1319567, 2MASXJ01331766+1319567,      23.3237896,      13.3320303, S, c, S, c, S, d, AB, AB, B, I, I, I
     57, UGC01123, UGC01123,      23.5332108,      -1.0322900, S, ab, S, a, S, bc, A, A, AB, I, I, I
     58, IC0159, IC0159,      26.6043892,      -8.6366196, S, dm, S, c, I, r, B, AB, B, I, I, M
     59, UGC01271, UGC01271,      27.2502708,      13.2111101, S, 0a, S, 0, S, d, B, B, B, I, I, I
     60, UGCA021, UGCA021,      27.2931499,     -10.0612402, S, dm, S, d, I, r, B, AB, B, I, I, I
     61, NGC0681, NGC0681,      27.2951698,     -10.4264803, S, a, S, a, S, ab, AB, A, AB, I, I, I
     62, UGC01274, UGC01274,      27.2984200,      12.8532495, S, a, S, 0, S, ab, A, A, AB, I, I, I
     63, NGC0677, NGC0677,      27.3085804,      13.0553503, E, 0, E, 0, S, 0, A, A, A, I, I, M
     64, NGC0693, NGC0693,      27.6302109,       6.1445298, E, 7, E, 0, S, m, AB, A, AB, I, I, I
     65, NGC0716, NGC0716,      28.2486706,      12.7084703, S, b, S, a, S, d, AB, A, B, I, I, I
     66, UGC01368, UGC01368,      28.5547295,       7.8836498, S, ab, S, a, S, c, A, A, A, I, I, I
     67, NGC0731, NGC0731,      28.7342091,      -9.0108099, E, 1, E, 0, S, 0, A, A, A, I, I, I
     68, NGC0741, NGC0741,      29.0874405,       5.6289701, E, 1, E, 0, E, 4, A, A, A, M, I, M
     69, NGC0755, NGC0755,      29.0944195,      -9.0613899, S, cd, S, b, S, d, B, AB, B, I, I, I
     70, IC1755, IC1755,      29.2907791,      14.5498896, S, b, S, 0a, S, d, A, A, AB, I, I, I
     71, NGC0768, NGC0768,      29.6705704,       0.5292100, S, c, S, bc, S, c, B, AB, B, I, I, M
     72, NGC0774, NGC0774,      29.8946991,      14.0081997, S, 0, E, 6, S, 0, A, A, A, I, I, I
     73, NGC0776, NGC0776,      29.9771900,      23.6442795, S, b, S, ab, S, bc, B, B, B, I, I, I
